А P
Б S
В Ш
Г ж
Д 8
Е c
Ё X
Ж r
З g
И э
Й ё
К р
Л Щ
М T
Н w
О E
П k
Р ъ
С Р
Т Y
У D
Ф Ж
Х U
Ц щ
Ч h
Ш K
Щ B
Ь Д
Ъ п
Э 9
Ю О
Я F
а Ю
б Т
в ю
г y
д ч
е R
ё 5
ж f
з и
и 1
й П
к Я
л А
м Б
н t
о Z
п б
р a
с ц
т Е
у з
ф К
х ь
ц М
ч Н
ш 2
щ л
ь м
ъ 6
э к
ю т
я в
0 ш
1 C
2 Л
3 В
4 A
5 а
6 m
7 с
8 b
9 С
A M
B V
C З
D H
E У
F z
G q
H о
I W
J я
K Ц
L Х
M д
N x
O e
P Ф
Q d
R 7
S 3
T е
U v
V s
W Ъ
X у
Y х
Z Г
a l
b Q
c J
d L
e u
f p
g г
h Ь
i Ч
j 4
k Э
l j
m Ё
n 0
o n
p N
q ф
r Й
s й
t O
u o
v G
w i
x I
y И
z н
